,dep_stop_id,weight,arr_stop_id
1023,8502762,322,8573158
1024,8503097,389,8573160
1025,8573161,384,8573160
1026,8503097,17,8573161
1027,8573160,384,8573161
1028,8573162,550,8573161
1029,8502776,534,8573162
1030,8503097,557,8573162
1031,8573161,550,8573162
1032,8502776,374,8573163
1033,8503791,431,8573163
1034,8503791,346,8573164
1035,8573165,418,8573164
1036,8573166,489,8573164
1037,8590826,403,8573164
1038,8590829,587,8573164
1039,8595406,549,8573164
1040,8503791,464,8573165
1041,8573164,418,8573165
1042,8573166,532,8573165
1043,8590815,473,8573165
1044,8590817,321,8573165
1045,8590829,579,8573165
1046,8573164,489,8573166
1047,8573165,532,8573166
1048,8573167,488,8573166
1049,8590818,289,8573166
1050,8590823,359,8573166
1051,8590826,581,8573166
1052,8590829,103,8573166
1053,8590830,542,8573166
1054,8503202,144,8573167
1055,8503674,402,8573167
1056,8573166,488,8573167
1057,8573168,144,8573167
1058,8590811,480,8573167
1059,8590813,292,8573167
1060,8590818,506,8573167
1061,8590822,528,8573167
1062,8590824,301,8573167
1063,8590826,516,8573167
1064,8590829,516,8573167
1065,8503202,33,8573168
1066,8503674,285,8573168
1067,8573167,144,8573168
1068,8590811,499,8573168
1069,8590813,309,8573168
1070,8590818,587,8573168
1071,8590822,471,8573168
1072,8590824,254,8573168
1073,8583855,256,8573171
1074,8502224,34,8573178
1075,8502224,34,8573178
1076,8502224,34,8573178
1077,8502075,115,8573205
1078,8503016,125,8573205
1079,8580301,374,8573205
1080,8502075,115,8573205
1081,8503016,125,8573205
1082,8580301,374,8573205
1083,8503781,592,8573206
1084,8573207,522,8573206
1085,8573206,522,8573207
1086,8503788,335,8573209
1087,8573233,513,8573211
1088,8576152,434,8573211
1089,8590699,315,8573211
1090,8503309,332,8573213
1091,8587799,462,8573213
1092,8588739,518,8573213
1093,8503309,332,8573213
1094,8587799,462,8573213
1095,8588739,518,8573213
1096,8502471,380,8573214
1097,8503309,349,8573214
1098,8580443,540,8573214
1099,8587799,391,8573214
1100,8506895,402,8573228
1101,8573234,463,8573232
1102,8579967,511,8573232
1103,8579969,540,8573232
1104,8573211,513,8573233
1105,8573234,377,8573233
1106,8573232,463,8573234
1107,8573233,377,8573234
1108,8579843,495,8573234
1109,8503312,33,8573237
1110,8503312,33,8573237
1111,8573239,460,8573238
1112,8573238,460,8573239
1113,8582662,555,8573239
1114,8590768,126,8573240
1115,8503311,19,8573241
1116,8590766,339,8573241
1117,8590767,577,8573241
1118,8595709,431,8573241
1119,8595712,444,8573241
1120,8595710,447,8573242
1121,8595712,445,8573242
1122,8590762,451,8573244
1123,8573262,419,8573261
1124,8573261,419,8573262
1125,8573263,543,8573262
1126,8582720,552,8573262
1127,8503313,446,8573263
1128,8503313,446,8573263
1129,8573262,543,8573263
1130,8582720,48,8573263
1131,8503314,449,8573264
1132,8590723,443,8573264
1133,8503316,499,8573274
1134,8573275,540,8573274
1135,8503316,129,8573275
1136,8573274,540,8573275
1137,8503315,565,8573276
1138,8573277,510,8573276
1139,8576283,238,8573276
1140,8576285,167,8573276
1141,8576286,327,8573276
1142,8596003,539,8573276
1143,8503315,82,8573277
1144,8573276,510,8573277
1145,8576283,517,8573277
